final_rank,country,athelete,age,points,pts_behind,R1_dive_no,R1_dd,R1_J1,R1_J2,R1_J3,R1_J4,R1_J5,R1_J6,R1_J7,R1_dive_points,R1_total_points,R1_dive_rank,R1_overall_rank,R1_points_behind,R2_dive_no,R2_dd,R2_J1,R2_J2,R2_J3,R2_J4,R2_J5,R2_J6,R2_J7,R2_dive_points,R2_total_points,R2_dive_rank,R2_overall_rank,R2_points_behind,R3_dive_no,R3_dd,R3_J1,R3_J2,R3_J3,R3_J4,R3_J5,R3_J6,R3_J7,R3_dive_points,R3_total_points,R3_dive_rank,R3_overall_rank,R3_points_behind,R4_dive_no,R4_dd,R4_J1,R4_J2,R4_J3,R4_J4,R4_J5,R4_J6,R4_J7,R4_dive_points,R4_total_points,R4_dive_rank,R4_overall_rank,R4_points_behind,R5_dive_no,R5_dd,R5_J1,R5_J2,R5_J3,R5_J4,R5_J5,R5_J6,R5_J7,R5_dive_points,R5_total_points,R5_dive_rank,R5_overall_rank,R5_points_behind,Olympic_Year,Gender,Event
3,United States,Krysta Palmer,29,343.75,39.75,405B,3,7.50,8.00,7.50,7.50,7.00,7.50,7.50,67.50,67.50,3,3,9.00,205B,3,7.50,6.50,7.00,7.00,7.00,7.00,7.00,63.00,130.50,5,4,22.50,305B,3,8.50,7.50,7.50,8.50,8.00,8.00,8.50,73.50,204.00,2,3,24.00,107B,3.1,7.00,7.50,7.00,7.50,7.00,7.00,7.50,66.65,270.65,4,3,34.85,5154B,3.4,7.00,7.50,7.00,7.00,8.00,7.50,6.50,73.10,343.75,3,3,39.75,2020,F,3m
4,Malaysia,Nur Dhabitah Sabri,22,326.15,57.35,405B,3,7.00,7.50,7.00,7.00,7.00,7.00,6.50,63.00,63.00,6,6,13.50,107B,3.1,7.00,7.50,7.50,7.00,7.00,7.50,7.00,66.65,129.65,4,5,23.35,205B,3,7.00,6.00,7.00,6.50,7.00,6.00,7.00,61.50,191.15,6,4,36.85,305B,3,7.50,7.50,8.00,7.50,7.50,7.00,7.50,67.50,258.65,3,4,46.85,5152B,3,7.50,7.50,7.50,7.50,7.50,8.00,7.50,67.50,326.15,4,4,57.35,2020,F,3m
5,Netherlands,Inge Jansen,27,311.05,72.45,205B,3,7.00,7.00,7.00,7.50,7.00,7.50,7.00,63.00,63.00,6,6,13.50,5152B,3,6.50,7.00,7.00,7.00,7.00,7.00,7.00,63.00,126.00,5,6,27.00,305B,3,6.50,7.00,6.50,7.00,6.50,6.50,6.00,58.50,184.50,10,6,43.50,107B,3.1,6.50,7.00,7.00,7.00,6.00,7.50,6.50,63.55,248.05,6,5,57.45,405B,3,7.00,7.00,7.00,7.00,7.00,6.50,7.00,63.00,311.05,9,5,72.45,2020,F,3m
6,Mexico,Aranza Vazquez Montano,18,303.45,80.05,405B,3,6.50,6.50,7.00,7.00,7.00,7.00,7.00,63.00,63.00,6,6,13.50,107B,3.1,5.50,7.00,6.50,6.00,6.50,7.50,6.50,60.45,123.45,8,7,29.55,205B,3,7.00,7.00,7.50,7.50,7.50,7.50,7.00,66.00,189.45,3,5,38.55,305B,3,6.00,6.00,5.50,5.00,4.50,5.00,5.00,46.50,235.95,11,7,69.55,5152B,3,7.50,7.50,7.50,7.50,8.00,7.50,7.00,67.50,303.45,4,6,80.05,2020,F,3m
7,Germany,Tina Punzel,26,302.95,80.55,205B,3,7.50,7.00,7.50,7.00,7.00,7.50,7.50,66.00,66.00,5,5,10.50,107B,3.1,4.00,5.00,5.00,4.50,4.00,5.50,5.00,44.95,110.95,10,10,42.05,305B,3,6.50,7.00,7.00,7.00,7.00,6.00,6.50,61.50,172.45,6,8,55.55,5152B,3,7.00,7.00,7.00,7.50,6.50,6.50,7.00,63.00,235.45,7,8,70.05,405B,3,7.50,7.00,7.50,7.00,7.50,7.50,7.50,67.50,302.95,4,7,80.55,2020,F,3m
8,Canada,Jennifer Abel,29,297.45,86.05,405B,3,7.00,7.00,7.00,7.00,7.00,7.50,7.00,63.00,63.00,6,6,13.50,107B,3.1,7.50,7.50,8.00,7.50,6.50,7.50,7.50,69.75,132.75,2,3,20.25,305B,3,4.50,4.00,4.00,4.00,4.50,4.50,4.50,39.00,171.75,12,9,56.25,205B,3,6.50,7.00,7.50,6.50,7.50,8.00,7.00,64.50,236.25,5,6,69.25,5154B,3.4,6.00,6.00,6.00,6.00,6.50,6.50,6.00,61.20,297.45,11,8,86.05,2020,F,3m
9,United States,Hailey Hernandez,18,288.45,95.05,405C,2.7,7.00,7.50,7.00,7.00,8.00,7.50,6.50,58.05,58.05,12,12,18.45,107C,2.8,7.00,7.50,7.00,7.00,7.00,7.50,7.00,58.80,116.85,9,9,36.15,205C,2.8,7.00,7.50,7.00,7.00,7.50,7.00,7.00,58.80,175.65,9,7,52.35,305C,2.8,6.50,7.50,7.00,7.00,7.00,7.50,6.50,58.80,234.45,8,9,71.05,5152B,3,6.50,6.00,6.00,6.00,6.00,6.50,5.50,54.00,288.45,12,9,95.05,2020,F,3m
10,Russian Olympic Committee,Mariia Poliakova,24,284.05,99.45,5152B,3,6.50,6.50,7.00,7.00,7.00,7.00,6.50,61.50,61.50,10,10,15.00,205B,3,4.50,4.00,4.50,4.00,4.50,4.00,4.50,39.00,100.50,11,11,52.50,305B,3,7.50,6.50,6.50,7.00,7.50,7.00,7.00,63.00,163.50,5,11,64.50,405B,3,7.00,7.00,6.50,6.00,6.50,6.00,6.00,57.00,220.50,9,10,85.00,107B,3.1,7.50,6.50,7.00,7.50,6.50,6.50,7.00,63.55,284.05,8,10,99.45,2020,F,3m
11,Switzerland,Michelle Heimberg,21,283.35,100.15,405B,3,7.00,6.50,6.50,6.50,7.00,6.50,7.00,60.00,60.00,11,11,16.50,5152B,3,7.00,7.00,7.00,6.50,6.50,7.00,7.00,63.00,123.00,5,8,30.00,107B,3.1,4.50,3.50,4.50,4.00,4.50,4.50,4.50,41.85,164.85,11,10,63.15,205B,3,6.50,6.00,6.00,6.00,6.00,6.00,6.00,54.00,218.85,10,11,86.65,305B,3,7.00,7.00,7.00,7.50,7.50,8.00,7.00,64.50,283.35,7,11,100.15,2020,F,3m
12,Australia,Esther Qin,29,261.95,121.55,405B,3,7.50,7.50,7.50,7.00,7.50,8.00,7.50,67.50,67.50,3,3,9.00,107B,3.1,3.50,3.00,3.50,3.00,3.00,2.50,3.50,29.45,96.95,12,12,56.05,205B,3,6.50,6.50,6.50,7.00,7.00,7.00,7.50,61.50,158.45,6,12,69.55,305B,3,5.00,5.50,4.50,4.50,4.50,5.50,4.50,42.00,200.45,12,12,105.05,5152B,3,7.00,6.50,6.50,7.00,7.00,7.00,6.50,61.50,261.95,10,12,121.55,2020,F,3m
1,China,Tingmao Shi,24,406.05,0.00,405B,3,9.50,9.00,9.50,9.00,9.00,9.00,8.50,81.00,81.00,1,1,0.00,205B,3,9.00,9.00,9.00,9.00,8.50,9.00,9.50,81.00,162.00,1,1,0.00,305B,3,9.50,9.00,9.50,9.00,9.50,9.50,9.00,84.00,246.00,1,1,0.00,107B,3.1,8.50,8.50,9.00,9.00,8.50,8.50,8.50,79.05,325.05,2,1,0.00,5152B,3,9.00,9.00,9.50,9.00,9.00,9.00,9.00,81.00,406.05,2,1,0.00,2016,F,3m
2,China,Zi He,25,387.90,18.15,405B,3,9.00,9.00,9.00,9.00,9.00,8.50,8.50,81.00,81.00,1,1,0.00,305B,3,9.00,9.00,9.00,9.00,9.00,9.00,9.00,81.00,162.00,1,1,0.00,107B,3.1,7.50,7.50,8.00,8.00,8.00,8.00,8.00,74.40,236.40,2,2,9.60,205B,3,8.50,8.50,8.50,8.50,9.00,8.00,9.00,76.50,312.90,4,2,12.15,5152B,3,8.00,8.00,8.50,8.50,8.50,8.00,8.50,75.00,387.90,4,2,18.15,2016,F,3m
3,Italy,Tania Cagnotto,31,372.80,33.25,205B,3,8.50,8.50,8.50,8.00,8.50,8.50,8.50,76.50,76.50,3,3,4.50,5152B,3,8.00,8.00,8.00,8.50,8.50,8.50,8.50,75.00,151.50,3,3,10.50,107B,3.1,7.50,7.50,8.00,7.50,7.50,8.00,8.50,71.30,222.80,4,3,23.20,405B,3,7.50,7.50,7.50,8.00,8.00,7.50,8.00,69.00,291.80,6,4,33.25,305B,3,9.00,8.50,9.00,9.00,9.50,9.00,8.50,81.00,372.80,2,3,33.25,2016,F,3m
4,Canada,Jennifer Abel,24,367.25,38.80,405B,3,8.50,8.00,8.50,8.50,8.50,8.00,8.50,76.50,76.50,3,3,4.50,305B,3,7.50,7.50,8.00,7.00,8.00,7.50,8.50,69.00,145.50,4,4,16.50,107B,3.1,8.00,7.50,8.50,7.50,8.00,7.50,8.00,72.85,218.35,3,4,27.65,5154B,3.4,7.50,7.50,8.00,8.00,7.50,8.00,8.00,79.90,298.25,1,3,26.80,205B,3,7.50,7.50,8.50,8.00,7.50,7.50,8.50,69.00,367.25,6,4,38.80,2016,F,3m
5,Australia,Maddison Keeney,20,349.65,56.40,205B,3,7.50,7.00,6.50,7.00,7.00,7.50,7.50,64.50,64.50,8,8,16.50,305B,3,6.50,7.00,7.50,6.50,7.00,7.50,7.50,64.50,129.00,10,8,33.00,405B,3,7.00,7.00,6.50,7.00,6.00,6.50,6.00,60.00,189.00,9,9,57.00,107B,3.1,8.50,8.50,8.50,8.50,8.50,8.00,8.00,79.05,268.05,2,7,57.00,5154B,3.4,8.00,8.00,8.00,8.00,8.00,7.50,8.00,81.60,349.65,1,5,56.40,2016,F,3m
6,Australia,Esther Qin,24,344.10,61.95,405B,3,8.00,8.00,8.00,8.50,8.00,8.00,8.00,72.00,72.00,5,5,9.00,107B,3.1,6.50,7.00,7.00,7.00,7.00,6.50,7.00,65.10,137.10,6,5,24.90,205B,3,7.50,7.50,7.50,7.50,7.50,7.50,8.00,67.50,204.60,5,5,41.40,305B,3,7.50,7.00,7.50,7.50,7.50,8.00,7.50,67.50,272.10,7,5,52.95,5152B,3,8.00,7.50,8.00,8.00,8.00,8.00,7.50,72.00,344.10,5,6,61.95,2016,F,3m
7,Canada,Pamela Ware,23,323.15,82.90,205B,3,7.00,7.00,7.50,7.00,7.50,7.00,7.00,63.00,63.00,9,9,18.00,107B,3.1,7.00,7.00,7.50,7.50,7.50,7.00,7.00,66.65,129.65,5,7,32.35,405B,3,7.50,7.50,7.50,7.50,7.50,7.50,8.00,67.50,197.15,5,7,48.85,305B,3,8.00,7.50,8.50,8.00,8.50,8.00,8.50,73.50,270.65,5,6,54.40,5152B,3,5.50,6.00,5.50,6.50,6.50,5.50,6.00,52.50,323.15,12,7,82.90,2016,F,3m
8,Great Britain,Grace Reid,20,318.60,87.45,405B,3,7.00,7.50,7.00,7.00,7.00,6.50,7.00,63.00,63.00,9,9,18.00,107B,3.1,7.00,7.00,7.00,7.00,7.00,7.50,7.00,65.10,128.10,6,9,33.90,305B,3,6.50,6.50,6.50,6.50,6.50,7.00,6.50,58.50,186.60,10,10,59.40,205B,3,7.00,7.00,7.00,7.00,7.50,7.50,7.50,64.50,251.10,9,8,73.95,5152B,3,7.00,7.50,7.50,7.50,7.50,7.50,7.00,67.50,318.60,7,8,87.45,2016,F,3m
9,Germany,Nora Subschinski,28,317.10,88.95,405B,3,7.00,7.00,7.00,7.00,7.50,7.00,7.00,63.00,63.00,9,9,18.00,107B,3.1,6.50,7.00,7.00,7.00,7.00,7.50,7.50,65.10,128.10,6,9,33.90,205B,3,7.00,7.00,7.00,7.00,6.50,7.00,7.50,63.00,191.10,8,8,54.90,305B,3,6.50,6.50,6.50,7.00,6.50,7.00,6.50,58.50,249.60,11,9,75.45,5152B,3,7.00,7.50,7.50,7.50,7.50,7.50,7.00,67.50,317.10,7,9,88.95,2016,F,3m
10,Malaysia,Yan Yee Ng,23,306.60,99.45,405B,3,7.50,7.50,7.50,7.00,7.50,7.00,7.50,67.50,67.50,6,6,13.50,107B,3.1,7.00,7.00,7.50,7.00,7.50,6.50,7.00,65.10,132.60,6,6,29.40,205B,3,7.00,7.50,7.50,7.50,7.50,7.00,7.50,67.50,200.10,5,6,45.90,305B,3,4.50,4.50,5.50,4.50,6.00,4.50,4.00,40.50,240.60,12,10,84.45,5152B,3,7.00,7.50,7.50,7.50,7.50,6.50,7.00,66.00,306.60,10,10,99.45,2016,F,3m
11,Ukraine,Olena Fedorova,29,304.80,101.25,205B,3,7.00,7.00,7.00,7.00,6.50,7.00,7.00,63.00,63.00,9,9,18.00,305B,3,6.50,6.50,6.50,6.00,6.50,6.00,6.50,58.50,121.50,12,12,40.50,405B,3,6.50,6.50,6.50,6.00,6.00,6.00,7.00,57.00,178.50,11,11,67.50,107C,2.8,6.50,7.50,7.50,7.00,7.00,7.00,6.50,58.80,237.30,10,11,87.75,5152B,3,7.50,7.50,8.00,7.50,7.50,7.50,7.50,67.50,304.80,7,11,101.25,2016,F,3m
12,United States,Abigail Johnston,26,302.85,103.20,205B,3,8.00,7.50,7.50,7.50,7.50,7.50,8.00,67.50,67.50,6,6,13.50,305B,3,6.50,6.50,6.50,7.00,7.00,7.00,6.50,60.00,127.50,11,11,34.50,107B,3.1,4.50,5.00,4.50,4.00,4.50,4.50,5.50,41.85,169.35,12,12,76.65,405B,3,7.50,7.50,7.50,7.50,8.00,7.50,7.50,67.50,236.85,7,12,88.20,5152B,3,7.00,7.50,7.50,7.50,7.50,7.00,7.00,66.00,302.85,10,12,103.20,2016,F,3m
