final_rank,country,athelete,age,points,pts_behind,R1_dive_no,R1_dd,R1_J1,R1_J2,R1_J3,R1_J4,R1_J5,R1_J6,R1_J7,R1_dive_points,R1_total_points,R1_dive_rank,R1_overall_rank,R1_points_behind,R2_dive_no,R2_dd,R2_J1,R2_J2,R2_J3,R2_J4,R2_J5,R2_J6,R2_J7,R2_dive_points,R2_total_points,R2_dive_rank,R2_overall_rank,R2_points_behind,R3_dive_no,R3_dd,R3_J1,R3_J2,R3_J3,R3_J4,R3_J5,R3_J6,R3_J7,R3_dive_points,R3_total_points,R3_dive_rank,R3_overall_rank,R3_points_behind,R4_dive_no,R4_dd,R4_J1,R4_J2,R4_J3,R4_J4,R4_J5,R4_J6,R4_J7,R4_dive_points,R4_total_points,R4_dive_rank,R4_overall_rank,R4_points_behind,R5_dive_no,R5_dd,R5_J1,R5_J2,R5_J3,R5_J4,R5_J5,R5_J6,R5_J7,R5_dive_points,R5_total_points,R5_dive_rank,R5_overall_rank,R5_points_behind,R6_dive_no,R6_dd,R6_J1,R6_J2,R6_J3,R6_J4,R6_J5,R6_J6,R6_J7,R6_dive_points,R6_total_points,R6_dive_rank,R6_overall_rank,R6_points_behind,Olympic_Year,Gender,Event
11,Great Britain,Kyle Kothari,26,401.55,145.95,6243D,3.2,7.00,7.00,7.50,7.50,7.50,7.00,7.50,70.40,70.40,9,9,26.50,307C,3.4,8.00,8.50,8.50,8.00,8.00,8.00,8.00,81.60,152.00,6,7,31.40,407C,3.2,7.50,7.50,7.50,7.00,7.50,7.50,8.00,72.00,224.00,9,7,56.50,207C,3.3,4.50,4.50,4.50,5.00,4.50,4.50,4.00,44.55,268.55,12,11,103.75,109C,3.7,6.00,6.50,5.00,5.50,5.50,5.00,5.00,59.20,327.75,8,11,133.35,5255B,3.6,7.00,6.50,7.00,7.00,6.50,6.50,7.00,73.80,401.55,10,11,145.95,2024,M,10m
12,China,Hao Yang,26,390.20,157.30,407C,3.2,7.50,8.00,8.00,8.50,8.50,8.00,8.00,76.80,76.80,7,7,20.10,626B,3.5,5.00,5.50,5.50,6.50,5.50,6.00,6.00,59.50,136.30,11,10,47.10,307C,3.4,6.50,7.00,6.00,6.50,5.50,5.00,5.50,61.20,197.50,12,12,83.00,207B,3.6,5.00,5.00,5.50,5.50,5.00,4.50,4.50,54.00,251.50,11,12,120.80,5253B,3.2,9.00,9.00,8.50,9.00,8.50,8.00,8.00,83.20,334.70,4,10,126.40,109C,3.7,4.50,5.00,6.50,5.00,5.50,4.50,5.00,55.50,390.20,12,12,157.30,2024,M,10m
1,China,Yuan Cao,26,582.35,0.00,307C,3.4,10.00,9.50,9.50,10.00,10.00,10.00,10.00,102.00,102.00,1,1,0.00,407C,3.2,9.00,8.50,8.50,8.50,8.00,8.50,9.00,81.60,183.60,6,3,6.20,207B,3.6,9.50,9.00,9.00,9.00,9.00,8.50,8.50,97.20,280.80,1,2,0.80,6245D,3.6,9.00,9.00,9.00,9.00,9.00,9.00,9.00,97.20,378.00,1,1,0.00,109C,3.7,9.50,9.50,9.00,9.00,9.50,9.00,9.00,101.75,479.75,2,1,0.00,5255B,3.6,9.50,9.50,9.50,10.00,10.00,9.50,9.50,102.60,582.35,2,1,0.00,2020,M,10m
2,China,Jian Yang,27,580.40,1.95,307C,3.4,9.00,8.00,9.00,9.00,9.00,8.50,8.50,90.10,90.10,3,3,11.90,407B,3.5,9.00,9.00,9.00,8.50,9.00,8.50,9.00,94.50,184.60,1,2,5.20,626B,3.5,9.00,8.00,8.50,8.50,9.00,8.50,8.00,89.25,273.85,4,3,7.75,5156B,3.8,9.00,7.50,8.00,8.00,8.00,7.50,8.50,91.20,365.05,2,2,12.95,207B,3.6,9.50,9.50,9.50,10.00,10.00,9.50,9.00,102.60,467.65,1,2,12.10,109B,4.1,9.00,9.50,9.00,9.50,9.50,9.00,9.00,112.75,580.40,1,2,1.95,2020,M,10m
3,Great Britain,Thomas Daley,27,548.25,34.10,307C,3.4,10.00,9.50,10.00,9.50,8.50,10.00,9.50,98.60,98.60,2,2,3.40,407C,3.2,9.50,9.50,9.50,10.00,9.50,9.50,9.00,91.20,189.80,4,1,0.00,5172B,3.6,9.00,8.50,8.50,8.00,8.00,9.00,8.50,91.80,281.60,2,1,0.00,626B,3.5,7.50,8.50,8.00,8.00,7.50,7.50,7.00,80.50,362.10,6,3,15.90,109C,3.7,8.50,9.00,9.00,8.50,8.50,8.50,8.50,94.35,456.45,3,3,23.30,207B,3.6,8.00,9.00,8.50,9.00,8.00,8.50,8.50,91.80,548.25,3,3,34.10,2020,M,10m
4,Russian Olympic Committee,Aleksandr Bondar,27,514.50,67.85,407C,3.2,8.00,7.50,8.00,8.00,8.00,7.50,7.50,75.20,75.20,5,5,26.80,307C,3.4,9.00,8.50,9.00,9.00,8.50,9.00,9.00,91.80,167.00,2,4,22.80,626B,3.5,8.50,8.50,8.00,8.00,8.50,7.50,8.00,85.75,252.75,6,4,28.85,207B,3.6,6.50,7.50,7.50,7.50,7.00,8.00,7.50,81.00,333.75,5,4,44.25,109C,3.7,9.00,8.50,8.50,8.50,8.50,8.00,8.50,94.35,428.10,3,4,51.65,5255B,3.6,8.00,8.00,8.00,8.00,8.00,8.00,8.00,86.40,514.50,5,4,67.85,2020,M,10m
5,Russian Olympic Committee,Viktor Minibaeuv,30,495.85,86.50,407C,3.2,7.50,7.00,7.00,7.50,7.00,7.50,7.00,68.80,68.80,7,7,33.20,307C,3.4,9.00,9.00,9.50,9.00,9.00,9.50,9.00,91.80,160.60,2,6,29.20,6245D,3.6,8.50,9.00,8.50,8.50,8.50,8.50,8.50,91.80,252.40,2,5,29.20,207B,3.6,7.50,7.50,6.50,7.00,6.00,7.00,6.50,73.80,326.20,9,5,51.80,109C,3.7,8.00,7.50,7.50,7.50,7.50,7.00,7.00,83.25,409.45,5,5,70.30,5255B,3.6,8.00,8.00,8.00,8.00,8.00,7.00,7.50,86.40,495.85,5,5,86.50,2020,M,10m
6,Ukraine,Oleksii Sereda,15,461.70,120.65,407C,3.2,8.50,8.50,9.00,8.50,9.00,9.50,8.50,83.20,83.20,4,4,18.80,207C,3.3,8.50,8.00,8.00,8.00,7.50,7.50,8.00,79.20,162.40,7,5,27.40,6245D,3.6,8.50,9.00,8.00,8.50,8.00,8.00,7.50,88.20,250.60,5,6,31.00,307C,3.4,5.50,5.50,5.50,5.50,5.50,5.50,5.50,56.10,306.70,11,7,71.30,107B,3,9.00,9.00,8.00,8.00,8.00,8.50,8.50,75.00,381.70,6,6,98.00,5253B,3.2,8.50,8.50,8.50,8.00,8.50,8.00,8.00,80.00,461.70,8,6,120.65,2020,M,10m
7,Japan,Rikuto Tamai,14,431.95,15.40,407C,3.2,7.50,7.50,7.50,7.00,7.50,7.50,7.50,72.00,72.00,6,6,30.00,207B,3.6,8.50,8.50,8.00,8.00,7.50,8.00,8.00,86.40,158.40,5,7,31.40,109C,3.7,7.00,6.00,6.50,7.00,7.00,6.50,7.00,75.85,234.25,7,7,47.35,6245D,3.6,8.00,8.00,8.00,7.50,8.00,8.00,8.00,86.40,320.65,4,6,57.35,307C,3.4,3.50,3.50,4.00,3.50,4.00,3.50,3.50,35.70,356.35,12,7,123.40,5255B,3.6,7.00,7.00,7.00,6.50,7.00,7.00,7.00,75.60,431.95,9,7,150.40,2020,M,10m
8,Australia,Cassiel Rousseau,20,430.35,152.00,407C,3.2,5.50,6.50,6.50,6.00,6.00,6.00,6.00,57.60,57.60,12,12,44.40,6245D,3.6,6.00,5.50,5.50,6.00,5.50,6.00,5.50,61.20,118.80,10,12,71.00,207C,3.3,8.00,7.50,7.50,7.50,7.00,7.50,7.50,74.25,193.05,8,8,88.55,307C,3.4,7.00,8.00,8.00,7.50,7.50,7.50,7.00,76.50,269.55,8,9,108.45,5255B,3.6,7.00,7.50,7.00,6.50,6.50,6.50,6.50,72.00,341.55,8,8,138.20,109C,3.7,7.50,9.00,9.00,8.00,8.00,8.00,8.00,88.80,430.35,4,8,152.00,2020,M,10m
9,United States,Jordan Windle,22,407.90,174.45,407C,3.2,7.00,7.00,7.00,7.50,7.00,8.00,7.50,68.80,68.80,7,7,33.20,207C,3.3,7.50,7.00,7.00,7.50,7.50,7.50,7.00,72.60,141.40,9,8,48.40,616B,3.3,4.00,4.00,4.00,4.50,5.50,4.00,4.00,39.60,181.00,12,11,100.60,109C,3.7,8.00,8.50,8.00,8.00,8.00,8.00,8.00,88.80,269.80,3,8,108.20,307C,3.4,7.00,6.00,7.00,6.50,7.00,6.50,7.00,69.70,339.50,9,9,140.25,5255B,3.6,6.50,6.00,6.50,6.50,7.00,6.00,6.00,68.40,407.90,12,9,174.45,2020,M,10m
10,Brazil,Kawan Figueredo Pereira,19,393.85,188.50,407C,3.2,6.50,6.50,6.50,6.50,6.00,6.00,6.00,60.80,60.80,11,11,41.20,207C,3.3,8.00,8.00,8.50,7.50,8.00,8.50,8.00,79.20,140.00,7,9,49.80,626C,3.3,4.50,4.50,5.00,4.00,5.00,5.00,4.50,46.20,186.20,11,9,95.40,109C,3.7,7.00,7.50,7.00,7.00,7.50,7.50,7.00,79.55,265.75,7,10,112.25,307C,3.4,5.00,5.50,6.00,5.50,5.50,6.00,5.00,56.10,321.85,11,10,157.90,5253B,3.2,7.50,7.50,7.00,7.50,7.50,7.50,7.50,72.00,393.85,11,10,188.50,2020,M,10m
11,United States,Brandon Loschiavo,24,383.65,198.70,407C,3.2,7.00,7.00,7.00,7.50,7.00,7.00,7.00,67.20,67.20,9,9,34.80,6245D,3.6,6.50,5.50,5.50,6.00,5.50,5.50,5.00,59.40,126.60,11,10,63.20,207B,3.6,4.50,4.00,4.50,5.50,4.50,4.50,4.50,48.60,175.20,10,12,106.40,307C,3.4,7.00,7.00,7.00,7.00,5.50,6.50,6.00,69.70,244.90,10,11,133.10,5255B,3.6,6.50,6.50,6.50,6.00,6.00,6.00,5.50,66.60,311.50,10,11,168.25,109C,3.7,7.00,6.50,6.50,7.00,6.50,6.50,6.50,72.15,383.65,10,11,198.70,2020,M,10m
12,Mexico,Andres Isaac Villarreal Tudon,24,381.75,200.60,407C,3.2,7.00,7.00,7.00,7.00,7.00,7.00,7.00,67.20,67.20,9,9,34.80,207B,3.6,5.50,6.00,6.00,5.50,5.00,5.00,5.50,59.40,126.60,11,10,63.20,626B,3.5,6.00,6.00,5.50,6.00,5.00,5.50,5.50,59.50,186.10,9,10,95.50,307C,3.4,4.00,4.00,4.50,4.50,5.00,4.00,4.00,42.50,228.60,12,12,149.40,109C,3.7,7.00,6.00,6.50,6.50,6.00,7.50,6.50,72.15,300.75,7,12,179.00,5255B,3.6,7.50,7.00,7.50,7.50,7.50,7.00,7.50,81.00,381.75,7,12,200.60,2020,M,10m
1,China,Aisen Chen,20,585.30,0.00,307C,3.4,10.00,9.50,9.50,9.50,9.50,9.00,10.00,96.90,96.90,1,1,0.00,407B,3.5,8.00,8.00,7.50,7.50,7.50,7.50,7.50,78.75,175.65,8,2,6.95,6245D,3.6,9.50,9.50,9.00,9.50,9.50,9.00,9.50,102.60,278.25,1,1,0.00,207B,3.6,9.00,8.50,8.50,9.00,8.50,8.50,9.00,93.60,371.85,4,1,0.00,109C,3.7,9.50,9.50,9.50,9.00,9.50,9.00,9.50,105.45,477.30,1,1,0.00,5255B,3.6,10.00,9.50,10.00,10.00,9.50,10.00,10.00,108.00,585.30,1,1,0.00,2016,M,10m
2,Mexico,German Saul Sanchez,24,532.70,52.60,207C,3.3,8.50,8.00,8.00,8.50,8.50,8.50,8.50,84.15,84.15,6,6,12.75,407C,3.2,8.50,9.00,8.00,9.00,8.50,8.50,8.50,81.60,165.75,6,5,16.85,626C,3.3,8.00,8.00,9.00,9.00,8.50,8.00,8.50,82.50,248.25,7,5,30.00,109C,3.7,8.50,9.00,9.00,9.00,8.50,8.50,9.00,98.05,346.30,2,4,25.55,307C,3.4,9.50,9.50,9.00,9.00,9.00,9.50,9.50,95.20,441.50,3,3,35.80,5156B,3.8,7.50,8.00,8.00,8.00,8.00,7.50,8.50,91.20,532.70,4,2,52.60,2016,M,10m
3,United States,David Boudia,27,525.25,60.05,6245D,3.6,8.50,8.00,8.50,7.50,8.00,8.00,8.50,88.20,88.20,5,5,8.70,407C,3.2,10.00,9.50,9.50,10.00,9.00,10.00,10.00,94.40,182.60,1,1,0.00,307C,3.4,8.50,8.50,7.50,8.00,8.00,8.00,8.00,81.60,264.20,8,2,14.05,207B,3.6,9.00,8.00,8.50,9.00,8.00,8.00,8.50,90.00,354.20,6,2,17.65,5255B,3.6,9.50,10.00,9.50,9.50,9.00,9.50,10.00,102.60,456.80,2,2,20.50,109C,3.7,6.50,6.00,6.00,6.50,4.50,6.00,6.50,68.45,525.25,10,3,60.05,2016,M,10m
4,France,Benjamin Auffret,21,507.35,77.95,407C,3.2,8.00,8.00,8.00,8.50,8.50,8.50,8.50,80.00,80.00,8,8,16.90,307C,3.4,9.00,8.50,8.50,8.50,8.00,8.50,8.50,86.70,166.70,4,4,15.90,107B,3,8.50,8.50,8.50,8.50,9.00,9.00,8.50,76.50,243.20,10,7,35.05,207C,3.3,9.50,9.50,9.50,9.50,9.50,9.50,9.50,94.05,337.25,3,5,34.60,626C,3.3,9.00,9.00,9.00,9.00,8.00,9.00,9.00,89.10,426.35,4,4,50.95,5255B,3.6,7.50,7.00,7.00,7.50,8.00,7.50,7.50,81.00,507.35,8,4,77.95,2016,M,10m
5,Germany,Martin Wolfram,24,492.90,92.40,6245D,3.6,8.00,8.50,8.50,7.50,8.50,8.50,8.00,90.00,90.00,3,3,6.90,407C,3.2,8.00,8.00,8.00,8.00,8.00,8.00,8.00,76.80,166.80,9,3,15.80,307C,3.4,9.50,9.00,9.00,9.00,9.50,9.50,9.50,95.20,262.00,3,3,16.25,207B,3.6,6.00,5.50,5.50,4.50,6.00,5.50,5.00,59.40,321.40,9,6,50.45,5255B,3.6,8.00,8.50,8.50,8.00,7.50,8.00,8.00,86.40,407.80,5,5,69.50,109C,3.7,8.00,8.50,7.50,7.50,7.50,7.50,8.00,85.10,492.90,7,5,92.40,2016,M,10m
6,China,Bo Qiu,23,488.20,97.10,407B,3.5,9.00,9.00,9.00,8.50,8.50,9.00,9.00,94.50,94.50,2,2,2.40,626B,3.5,4.50,5.50,4.00,4.50,4.50,4.00,4.50,47.25,141.75,12,12,40.85,307C,3.4,10.00,10.00,10.00,10.00,10.00,10.00,10.00,102.00,243.75,2,6,34.50,207B,3.6,9.50,9.50,10.00,9.50,10.00,9.50,9.50,102.60,346.35,1,3,25.50,5156B,3.8,4.50,4.00,4.00,4.50,5.00,4.00,3.50,47.50,393.85,9,7,83.45,109C,3.7,8.50,8.50,8.50,8.50,8.50,9.00,8.50,94.35,488.20,2,6,97.10,2016,M,10m
7,Puerto Rico,Rafael Quintero Diaz,22,485.35,99.95,407C,3.2,7.00,6.00,7.00,7.00,7.00,6.50,6.00,65.60,65.60,11,11,31.30,109C,3.7,8.50,8.00,8.00,8.50,8.50,7.50,8.00,90.65,156.25,2,9,26.35,6243D,3.2,8.50,8.50,8.50,8.50,8.00,8.00,8.50,81.60,237.85,8,10,40.40,5253B,3.2,9.00,8.50,8.50,8.50,8.50,8.50,8.00,81.60,319.45,7,7,52.40,207C,3.3,8.00,7.50,8.00,8.00,7.50,8.00,8.00,79.20,398.65,7,6,78.65,307C,3.4,9.00,8.50,8.00,8.50,9.00,8.00,8.50,86.70,485.35,6,7,99.95,2016,M,10m
8,Russia,Viktor Minibaeuv,25,481.60,103.70,407C,3.2,8.50,8.50,8.00,8.50,8.50,9.00,9.00,81.60,81.60,7,7,15.30,109C,3.7,6.00,6.00,6.50,6.50,6.50,7.00,5.50,70.30,151.90,11,11,30.70,307C,3.4,8.50,8.00,8.50,8.50,8.50,8.50,8.00,86.70,238.60,5,9,39.65,6245D,3.6,7.00,7.00,6.50,7.50,7.50,8.00,8.00,79.20,317.80,8,8,54.05,207B,3.6,7.00,5.50,6.50,6.50,6.50,7.00,7.00,72.00,389.80,8,8,87.50,5255B,3.6,9.00,8.50,8.50,9.00,8.50,8.50,8.50,91.80,481.60,3,8,103.70,2016,M,10m
9,Germany,Sascha Klein,30,424.15,161.15,407C,3.2,7.00,6.00,7.00,6.50,7.50,6.50,7.00,65.60,65.60,11,11,31.30,109C,3.7,8.00,8.50,9.00,8.00,8.00,8.00,8.50,90.65,156.25,2,9,26.35,626B,3.5,9.00,9.00,9.50,9.00,8.50,9.00,8.50,94.50,250.75,4,4,27.50,207B,3.6,3.50,3.50,3.50,3.00,4.00,3.50,3.50,37.80,288.55,12,11,83.30,307C,3.4,8.00,8.00,8.50,8.00,8.00,8.00,8.50,81.60,370.15,6,9,107.15,5255B,3.6,4.50,4.50,5.50,5.00,6.00,5.00,5.00,54.00,424.15,12,9,161.15,2016,M,10m
10,Mexico,Ivan Garcia Navarro,22,418.95,166.35,109C,3.7,8.00,8.50,8.00,8.00,7.50,8.00,8.50,88.80,88.80,4,4,8.10,6245D,3.6,7.00,7.50,7.00,6.50,6.50,6.50,7.50,73.80,162.60,10,6,20.00,207B,3.6,5.50,5.00,4.50,5.50,4.00,4.50,5.50,54.00,216.60,12,12,61.65,307C,3.4,9.00,9.00,9.00,9.00,8.50,9.50,9.50,91.80,308.40,5,9,63.45,409C,4.1,2.50,2.50,2.50,2.50,2.50,3.00,2.50,30.75,339.15,12,11,138.15,5156B,3.8,7.50,7.00,6.50,7.00,6.50,7.50,7.00,79.80,418.95,9,10,166.35,2016,M,10m
11,South Korea,Haram Woo,18,414.55,170.75,107B,3,8.50,8.00,8.50,8.50,8.50,8.50,8.50,76.50,76.50,9,9,20.40,407C,3.2,8.00,8.50,8.00,8.50,8.50,9.00,8.50,81.60,158.10,6,8,24.50,307C,3.4,8.50,9.00,8.50,8.00,8.50,8.00,8.00,85.00,243.10,6,8,35.15,207B,3.6,5.50,6.00,5.50,4.50,5.00,4.50,6.50,57.60,300.70,10,10,71.15,626B,3.5,4.50,5.00,4.00,4.50,4.50,5.00,4.50,47.25,347.95,10,10,129.35,5255B,3.6,7.00,7.00,6.50,6.00,5.50,4.00,6.00,66.60,414.55,11,11,170.75,2016,M,10m
12,Australia,Domonic Bedggood,21,403.80,181.50,407C,3.2,7.50,7.50,7.50,7.00,7.00,8.00,7.50,72.00,72.00,10,10,24.90,6245D,3.6,8.00,8.00,8.00,8.00,8.00,8.00,8.00,86.40,158.40,5,7,24.20,109C,3.7,7.00,5.50,6.50,6.00,6.50,6.00,6.00,68.45,226.85,11,11,51.40,207C,3.3,4.50,4.50,4.50,4.00,4.50,4.50,5.00,44.55,271.40,11,12,100.45,307C,3.4,4.00,5.00,3.50,3.50,5.50,4.50,4.50,44.20,315.60,11,12,161.70,5255B,3.6,8.50,8.50,7.50,8.00,8.50,8.00,8.00,88.20,403.80,5,12,181.50,2016,M,10m
